Gender,Missing_Income,Income_Category,Missing_Education,Education_Level,Marital_Divorced,Marital_Married,Marital_Single,Marital_Unknown,Card_Blue,Card_Gold,Card_Platinum,Card_Silver,Customer_Age,Credit_Limit,Avg_Utilization_Ratio,Total_Trans_Amt,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1
1,0,4,1,4,0,1,0,0,1,0,0,0,41,13535.0,0.095,1028,3,4,4,1,1291,0.653,1.625
1,0,2,0,2,0,1,0,0,1,0,0,0,61,3193.0,0.7879999999999999,1336,1,2,2,3,2517,1.831,1.143
0,1,1,0,4,0,1,0,0,1,0,0,0,45,14470.0,0.08,1207,2,6,1,2,1157,0.966,0.909
1,0,3,0,6,1,0,0,0,1,0,0,0,47,20979.0,0.086,1178,1,5,2,0,1800,0.9059999999999999,0.929
0,0,1,0,4,0,1,0,0,1,0,0,0,62,1438.3,0.0,692,0,2,3,3,0,1.047,0.6
1,0,2,0,2,0,1,0,0,1,0,0,0,41,4470.0,0.152,931,3,4,2,1,680,1.608,1.571
0,0,1,1,4,0,0,1,0,1,0,0,0,47,2492.0,0.626,1126,4,3,3,2,1560,0.573,0.353
1,0,4,1,4,0,1,0,0,1,0,0,0,54,12217.0,0.0,1110,2,4,2,3,0,1.075,0.75
0,0,1,0,4,0,0,1,0,1,0,0,0,41,7768.0,0.215,1051,3,6,1,2,1669,0.797,0.833
1,0,2,0,2,0,0,0,1,1,0,0,0,59,14784.0,0.09300000000000001,1197,1,4,1,2,1374,0.9209999999999999,1.3
1,0,3,1,4,0,1,0,0,1,0,0,0,63,10215.0,0.099,1904,1,3,3,2,1010,0.843,1.0
0,1,1,0,1,0,0,1,0,1,0,0,0,44,10100.0,0.0,1052,3,5,2,2,0,0.525,1.571
1,0,2,0,2,0,1,0,0,1,0,0,0,47,4785.0,0.285,1045,4,6,0,0,1362,0.7390000000000001,0.9
1,0,4,1,4,0,1,0,0,1,0,0,0,53,2753.0,0.6579999999999999,1038,3,3,2,3,1811,0.977,2.571
1,0,3,0,1,0,1,0,0,1,0,0,0,53,2451.0,0.69,1596,2,2,5,1,1690,1.3230000000000002,1.6
1,0,3,0,4,0,1,0,0,1,0,0,0,41,8923.0,0.282,1589,4,4,1,2,2517,1.726,1.6669999999999998
0,0,1,0,3,0,1,0,0,1,0,0,0,53,2650.0,0.562,1411,2,5,2,3,1490,1.75,1.0
1,0,4,0,4,0,1,0,0,1,0,0,0,58,12555.0,0.135,1291,0,6,2,2,1696,0.519,0.7140000000000001
0,0,1,0,3,0,0,1,0,1,0,0,0,55,3520.0,0.544,1407,1,4,2,1,1914,0.51,0.483
0,0,1,0,4,0,1,0,0,1,0,0,0,55,3035.0,0.757,1877,3,6,2,3,2298,1.724,1.176
0,0,1,0,2,0,1,0,0,0,1,0,0,42,15433.0,0.0,966,4,2,3,3,0,0.865,1.2
0,0,2,0,4,0,0,0,1,1,0,0,0,57,3672.0,0.24100000000000002,1464,1,3,3,2,886,1.32,0.556
0,1,1,0,6,0,1,0,0,1,0,0,0,66,7882.0,0.077,704,0,5,4,3,605,1.052,0.14300000000000002
1,0,4,0,4,0,0,1,0,1,0,0,0,45,32426.0,0.018000000000000002,1109,3,2,2,2,578,1.042,0.474
1,0,2,1,4,0,1,0,0,1,0,0,0,51,6205.0,0.355,1347,2,4,1,0,2204,0.8029999999999999,0.556
0,0,2,0,3,0,0,1,0,0,0,0,1,50,17304.0,0.145,1756,1,3,2,3,2517,1.449,1.2
1,0,3,0,2,0,1,0,0,1,0,0,0,49,3906.0,0.0,1756,3,5,2,1,0,1.214,1.0
0,1,1,0,4,0,0,1,0,1,0,0,0,38,9830.0,0.209,1042,4,2,3,3,2055,0.977,0.917
1,0,4,0,1,0,0,1,0,1,0,0,0,49,34516.0,0.0,1444,4,3,2,3,0,1.621,1.3330000000000002
1,0,3,0,6,0,1,0,0,1,0,0,0,56,2283.0,0.626,1741,2,6,2,0,1430,2.316,0.588
1,0,2,0,6,0,1,0,0,1,0,0,0,59,2548.0,0.7929999999999999,1719,1,3,2,2,2020,2.3569999999999998,1.7
1,0,4,0,2,0,1,0,0,1,0,0,0,46,19458.0,0.07400000000000001,1217,3,4,3,3,1435,0.787,0.8
1,0,4,0,3,0,0,1,0,1,0,0,0,52,4745.0,0.259,1140,1,5,1,1,1227,0.624,0.6
0,0,1,1,4,0,1,0,0,1,0,0,0,52,2622.0,0.591,1878,3,6,3,2,1549,1.321,1.143
0,0,1,0,4,0,1,0,0,1,0,0,0,54,1438.3,0.562,705,1,2,3,1,808,0.997,0.9
0,0,1,0,2,0,1,0,0,1,0,0,0,66,3171.0,0.687,1946,0,3,4,2,2179,1.224,1.923
1,0,5,1,4,0,1,0,0,1,0,0,0,49,19763.0,0.127,1414,2,4,2,0,2517,0.664,0.25
1,0,5,0,4,0,1,0,0,1,0,0,0,56,15769.0,0.0,602,2,1,3,3,0,1.041,0.364
0,0,1,0,4,0,0,0,1,1,0,0,0,49,3298.0,0.667,1052,4,6,4,2,2200,0.6779999999999999,0.6
0,0,1,0,4,0,0,1,0,1,0,0,0,49,2802.0,0.843,1295,3,2,2,0,2363,0.75,0.6
1,0,2,0,1,0,1,0,0,1,0,0,0,56,4458.0,0.42200000000000004,1424,2,4,2,3,1880,1.107,1.4169999999999998
0,1,1,0,4,0,1,0,0,1,0,0,0,44,6273.0,0.156,1359,5,4,1,2,978,2.275,1.083
1,0,3,0,2,0,0,1,0,1,0,0,0,42,3336.0,0.525,1168,2,4,4,3,1753,0.69,1.25
1,0,4,1,4,0,1,0,0,1,0,0,0,55,3436.0,0.5870000000000001,1097,3,4,2,3,2016,0.9009999999999999,0.833
1,0,3,0,4,0,1,0,0,0,0,0,1,48,34516.0,0.0,691,2,2,4,4,0,0.763,0.5
1,0,3,0,2,1,0,0,0,1,0,0,0,39,5926.0,0.21100000000000002,1316,1,5,3,3,1251,0.9440000000000001,1.1540000000000001
1,0,5,0,5,0,0,1,0,1,0,0,0,44,23957.0,0.08800000000000001,1276,4,2,4,2,2102,0.997,0.733
1,0,5,0,2,0,0,1,0,1,0,0,0,53,14734.0,0.111,1289,2,4,2,2,1634,0.9890000000000001,0.917
1,0,4,0,1,0,0,1,0,0,0,0,1,51,34516.0,0.044000000000000004,1293,4,4,1,4,1515,0.5920000000000001,0.6
1,0,3,0,3,0,1,0,0,1,0,0,0,57,6584.0,0.276,1353,2,5,3,3,1817,0.62,0.667
0,0,1,0,1,0,0,1,0,1,0,0,0,44,2084.0,0.7040000000000001,1132,2,6,3,3,1468,1.004,0.556
1,0,3,0,4,0,1,0,0,1,0,0,0,49,1687.0,0.6559999999999999,1670,2,2,2,2,1107,1.715,2.4
1,0,4,0,6,0,1,0,0,1,0,0,0,50,25300.0,0.053,837,2,6,2,2,1330,1.072,2.0
1,0,5,0,4,0,0,1,0,1,0,0,0,51,34516.0,0.051,1550,4,3,2,3,1763,1.266,1.05
0,0,1,0,4,0,1,0,0,1,0,0,0,55,2216.0,0.467,1540,2,5,3,3,1034,0.758,0.28600000000000003
1,0,3,0,4,0,0,0,1,1,0,0,0,54,2910.0,0.698,1256,1,4,2,3,2030,0.769,0.4
1,0,4,0,1,0,1,0,0,1,0,0,0,42,22913.0,0.067,1394,5,6,2,2,1528,0.414,0.522
1,0,3,0,3,0,0,1,0,1,0,0,0,44,24312.0,0.079,1341,1,3,3,3,1932,1.3119999999999998,1.182
1,0,4,0,4,0,0,1,0,1,0,0,0,53,5272.0,0.287,1289,2,5,3,2,1515,0.857,0.435
0,0,1,0,4,0,0,1,0,1,0,0,0,44,7000.0,0.36,1112,4,6,4,2,2517,0.475,1.875
0,0,1,0,1,0,0,1,0,1,0,0,0,37,7038.0,0.256,2339,3,4,4,2,1801,0.7509999999999999,0.966
1,0,3,0,4,1,0,0,0,1,0,0,0,49,2536.0,0.7190000000000001,1468,3,6,1,2,1823,0.703,0.353
1,0,4,0,4,0,1,0,0,1,0,0,0,47,28904.0,0.066,1334,2,6,3,2,1899,0.85,0.4
1,0,3,0,4,0,1,0,0,1,0,0,0,47,8567.0,0.198,1457,3,4,4,0,1695,1.242,1.412
1,0,5,1,4,0,0,0,1,1,0,0,0,44,34516.0,0.044000000000000004,1603,1,6,2,2,1533,0.924,0.526
0,0,2,1,4,0,1,0,0,1,0,0,0,55,2158.0,0.0,615,4,2,4,3,0,0.585,0.7140000000000001
0,1,1,0,4,0,1,0,0,1,0,0,0,59,10133.0,0.14,1068,1,2,3,3,1417,0.38299999999999995,0.818
1,0,4,0,4,1,0,0,0,1,0,0,0,53,34516.0,0.035,1590,1,5,4,2,1219,1.129,2.0
1,0,3,0,4,0,1,0,0,1,0,0,0,52,3085.0,0.619,1531,2,5,3,0,1910,0.9209999999999999,0.667
1,0,5,0,2,0,0,1,0,1,0,0,0,53,19040.0,0.10800000000000001,1212,2,4,2,1,2056,0.607,0.722
0,0,1,0,1,0,0,1,0,1,0,0,0,43,4026.0,0.0,1237,3,5,2,3,0,0.483,0.6
1,0,3,0,2,0,0,1,0,1,0,0,0,44,12756.0,0.066,1413,3,4,3,1,837,1.932,1.8
1,0,5,1,4,0,1,0,0,1,0,0,0,57,5266.0,0.0,1516,2,5,3,3,0,1.702,1.636
0,0,1,0,2,0,0,1,0,1,0,0,0,51,9930.0,0.0,1276,2,3,2,2,0,0.731,1.3330000000000002
1,0,4,0,2,0,0,1,0,1,0,0,0,49,31302.0,0.062,1564,4,4,3,0,1953,0.875,2.182
1,0,2,0,4,0,0,1,0,1,0,0,0,45,6576.0,0.0,1465,1,4,4,3,0,0.579,0.619
1,0,4,0,4,0,0,1,0,1,0,0,0,53,2664.0,0.765,1286,0,5,4,1,2037,0.85,0.9329999999999999
0,1,1,1,4,0,1,0,0,1,0,0,0,45,2535.0,0.963,1312,3,5,1,2,2440,1.705,1.222
1,0,1,0,4,0,1,0,0,1,0,0,0,64,1709.0,0.524,1673,1,6,4,3,895,1.656,0.882
1,0,2,0,4,0,1,0,0,1,0,0,0,45,3454.0,0.34700000000000003,1313,3,5,4,2,1200,0.597,0.304
1,0,2,0,6,0,1,0,0,1,0,0,0,53,3789.0,0.45,1609,3,5,3,2,1706,1.047,0.68
1,0,5,0,3,0,1,0,0,1,0,0,0,56,9689.0,0.23199999999999998,1158,3,3,2,0,2250,0.5760000000000001,0.727
1,0,4,1,4,0,1,0,0,1,0,0,0,47,5449.0,0.299,836,2,2,3,3,1628,0.696,0.385
0,1,1,0,3,0,0,1,0,1,0,0,0,49,23032.0,0.085,1289,3,4,4,0,1960,0.619,1.0
0,1,1,1,4,0,1,0,0,0,0,0,1,41,34516.0,0.059000000000000004,1487,3,5,3,3,2053,1.034,0.733
1,0,5,0,4,0,1,0,0,1,0,0,0,53,2940.0,0.43,1259,3,6,2,2,1264,0.562,0.5
0,0,1,0,4,0,0,1,0,1,0,0,0,44,3031.0,0.62,1298,2,3,3,3,1879,0.7879999999999999,1.5
1,0,3,0,2,0,0,0,1,1,0,0,0,44,1862.0,0.0,1226,3,3,3,0,0,0.883,0.789
0,0,1,0,5,0,1,0,0,1,0,0,0,43,8358.0,0.111,1566,4,2,3,3,926,0.762,0.542
1,0,5,0,5,0,0,1,0,1,0,0,0,53,34516.0,0.027000000000000003,1022,2,6,1,2,931,0.828,1.1
1,0,3,0,1,0,1,0,0,1,0,0,0,44,14450.0,0.16899999999999998,1235,1,5,2,3,2440,1.2830000000000001,0.667
0,0,1,1,4,0,1,0,0,1,0,0,0,62,1438.3,0.0,1951,1,6,0,0,0,0.813,1.095
1,0,5,1,4,1,0,0,0,1,0,0,0,54,33791.0,0.057999999999999996,1047,4,6,3,2,1960,0.618,0.8240000000000001
1,0,3,0,4,0,1,0,0,1,0,0,0,57,8466.0,0.223,1342,4,4,3,0,1886,0.56,0.391
1,0,3,1,4,0,1,0,0,1,0,0,0,42,15088.0,0.057,1107,3,5,3,3,865,0.9390000000000001,1.625
1,0,3,0,2,1,0,0,0,1,0,0,0,42,3263.0,0.513,1251,4,5,1,2,1674,0.588,0.34600000000000003
0,0,1,0,1,0,1,0,0,1,0,0,0,54,1494.0,0.473,1305,0,2,2,2,706,1.6740000000000002,3.0
1,0,4,0,4,0,0,1,0,1,0,0,0,48,13551.0,0.095,1388,3,6,1,0,1294,0.7909999999999999,1.056
1,0,4,0,4,0,0,1,0,1,0,0,0,49,18886.0,0.047,1235,1,6,2,2,895,1.8259999999999998,1.571
1,0,4,0,2,0,0,0,1,1,0,0,0,52,11976.0,0.106,2089,3,3,2,0,1273,1.024,1.1179999999999999
1,0,4,0,2,0,0,1,0,1,0,0,0,50,9964.0,0.156,1626,3,4,1,4,1559,1.8730000000000002,0.7859999999999999
1,0,3,0,6,0,1,0,0,1,0,0,0,49,24159.0,0.05,1111,1,4,6,3,1196,0.7120000000000001,1.0
0,0,1,0,2,0,1,0,0,1,0,0,0,53,5362.0,0.355,1553,2,3,2,3,1901,0.816,1.0
1,0,5,0,4,0,0,1,0,1,0,0,0,50,34516.0,0.03,1064,2,3,2,2,1023,1.004,0.625
0,0,1,0,6,0,1,0,0,1,0,0,0,55,3174.0,0.615,1243,1,4,1,0,1951,0.7659999999999999,0.611
1,0,4,0,2,0,1,0,0,1,0,0,0,53,12262.0,0.15,1659,1,3,2,2,1836,1.584,1.5330000000000001
0,0,2,0,2,0,0,1,0,1,0,0,0,47,3788.0,0.40700000000000003,1594,3,4,3,3,1540,0.5660000000000001,0.382
1,0,5,0,3,0,0,1,0,0,0,0,1,55,34516.0,0.044000000000000004,1268,2,2,3,2,1527,0.526,0.355
1,0,3,0,4,0,0,1,0,1,0,0,0,47,2926.0,0.0,1304,3,4,2,2,0,0.6759999999999999,0.846
1,0,5,0,4,0,0,1,0,1,0,0,0,58,32090.0,0.0,1368,4,6,1,0,0,0.5670000000000001,0.364
1,0,4,0,4,0,1,0,0,1,0,0,0,53,11669.0,0.191,720,2,3,3,2,2227,0.622,0.353
1,0,2,0,2,0,0,1,0,1,0,0,0,52,13532.0,0.096,1521,2,3,1,2,1300,0.846,1.4169999999999998
0,0,1,0,1,0,0,0,1,0,0,0,1,50,11888.0,0.17600000000000002,1137,1,4,2,2,2090,0.7,0.765
0,0,1,0,4,0,1,0,0,1,0,0,0,42,2393.0,0.83,978,1,5,1,2,1985,0.7879999999999999,0.778
1,0,2,1,4,0,1,0,0,1,0,0,0,43,6111.0,0.41200000000000003,1221,4,5,1,2,2517,0.632,2.2
1,0,4,0,4,0,1,0,0,1,0,0,0,57,19270.0,0.086,1565,4,3,2,3,1662,1.186,1.545
1,0,4,0,4,0,1,0,0,1,0,0,0,52,3710.0,0.6779999999999999,1578,1,3,1,4,2517,1.541,0.7
1,0,1,0,6,0,0,1,0,1,0,0,0,47,3235.0,0.24600000000000002,1493,2,2,1,3,797,0.541,1.0
0,0,2,0,4,0,0,1,0,1,0,0,0,44,11749.0,0.067,1178,3,3,1,0,788,0.688,0.929
1,0,3,0,2,1,0,0,0,1,0,0,0,53,7753.0,0.271,991,2,5,3,2,2100,0.8390000000000001,0.733
1,0,3,0,3,1,0,0,0,1,0,0,0,45,10408.0,0.114,2560,4,5,1,0,1186,1.689,1.2109999999999999
0,1,1,0,3,0,1,0,0,1,0,0,0,63,3967.0,0.395,1657,1,6,2,3,1568,1.236,1.2309999999999999
0,0,1,0,5,0,0,1,0,1,0,0,0,39,6205.0,0.406,1204,2,4,2,2,2517,0.9390000000000001,0.727
0,0,1,0,2,0,1,0,0,1,0,0,0,48,8025.0,0.0,673,5,1,3,3,0,0.654,0.8
1,0,5,1,4,0,0,1,0,1,0,0,0,51,9036.0,0.258,1131,1,6,2,3,2327,0.649,0.636
1,0,4,0,4,0,1,0,0,1,0,0,0,54,14926.0,0.16899999999999998,1576,4,2,3,2,2517,1.996,1.5
0,0,1,0,4,0,0,1,0,1,0,0,0,59,6335.0,0.17800000000000002,1217,1,3,2,3,1128,0.397,0.667
1,0,3,0,3,0,0,1,0,1,0,0,0,59,14979.0,0.0,530,1,2,3,3,0,0.71,1.0
0,0,1,0,1,0,1,0,0,1,0,0,0,48,2732.0,0.0,739,4,3,2,3,0,0.76,0.455
0,0,1,0,4,0,0,1,0,1,0,0,0,41,2250.0,0.941,1617,2,6,3,2,2117,1.162,2.875
1,0,5,0,4,0,1,0,0,1,0,0,0,55,10916.0,0.141,1592,2,3,2,0,1536,1.317,1.0
0,1,1,0,4,0,1,0,0,1,0,0,0,47,5349.0,0.23,1343,4,4,1,3,1228,0.728,1.308
1,0,4,0,2,0,1,0,0,1,0,0,0,41,9366.0,0.11800000000000001,1303,2,4,1,3,1104,0.5720000000000001,0.625
1,0,4,0,2,0,0,1,0,1,0,0,0,40,21617.0,0.0,1351,3,5,1,0,0,1.047,0.467
1,1,1,0,4,0,1,0,0,1,0,0,0,68,13860.0,0.11900000000000001,1910,1,5,2,3,1652,1.255,1.909
0,0,2,0,4,0,0,1,0,0,0,0,1,50,18386.0,0.0,1298,1,2,2,3,0,0.868,0.5710000000000001
1,0,3,0,1,0,0,1,0,1,0,0,0,47,2405.0,0.64,1087,4,6,2,2,1540,0.469,1.2309999999999999
0,0,1,0,3,0,1,0,0,1,0,0,0,53,2154.0,0.43200000000000005,1439,1,4,2,3,930,2.121,1.364
0,0,2,1,4,0,1,0,0,1,0,0,0,42,2038.0,0.0,1238,5,3,3,3,0,0.7859999999999999,0.75
0,0,2,0,2,0,0,1,0,1,0,0,0,48,8135.0,0.0,1716,4,6,1,3,0,1.3730000000000002,0.812
1,0,5,0,6,0,1,0,0,1,0,0,0,49,9364.0,0.066,1099,1,6,1,3,618,0.5539999999999999,0.8
0,1,1,0,1,0,1,0,0,0,0,0,1,44,32643.0,0.0,1058,2,4,3,2,0,1.3,2.4290000000000003
0,0,1,0,4,1,0,0,0,1,0,0,0,43,3195.0,0.612,1285,4,2,3,1,1954,0.971,0.706
1,0,4,0,2,0,1,0,0,1,0,0,0,56,2852.0,0.359,1651,0,5,2,1,1024,1.0090000000000001,1.0
0,1,1,0,3,0,0,1,0,1,0,0,0,59,4224.0,0.309,1152,1,2,3,3,1305,0.852,0.8240000000000001
1,0,3,0,1,0,1,0,0,1,0,0,0,46,20459.0,0.10099999999999999,1767,1,3,2,2,2071,1.248,2.167
0,0,1,1,4,1,0,0,0,1,0,0,0,47,3482.0,0.607,1039,4,6,5,3,2114,0.508,0.263
0,0,2,0,1,0,1,0,0,1,0,0,0,50,3065.0,0.512,1130,4,5,2,3,1570,1.077,1.3330000000000002
0,0,1,0,1,0,1,0,0,1,0,0,0,51,2185.0,0.8059999999999999,1645,3,3,1,2,1761,0.682,0.429
0,0,1,0,1,0,1,0,0,1,0,0,0,47,1611.0,0.46299999999999997,1413,3,4,1,0,746,0.993,0.706
0,0,1,0,1,0,1,0,0,1,0,0,0,58,2822.0,0.77,1218,4,3,3,3,2173,1.456,2.286
1,0,4,0,4,0,0,1,0,1,0,0,0,46,32975.0,0.076,597,5,6,3,3,2517,0.6579999999999999,0.7
1,0,3,0,2,0,1,0,0,1,0,0,0,53,1438.3,0.0,2184,3,5,2,2,0,0.7759999999999999,0.828
0,1,1,0,1,1,0,0,0,1,0,0,0,45,15875.0,0.10800000000000001,1592,4,4,3,3,1719,0.86,1.4669999999999999
0,0,1,0,2,0,1,0,0,1,0,0,0,52,6703.0,0.133,1388,1,6,3,3,893,0.5670000000000001,0.75
1,0,4,1,4,0,1,0,0,1,0,0,0,53,3212.0,0.0,757,2,2,2,1,0,0.713,0.25
1,0,4,0,2,0,1,0,0,0,0,0,1,50,34516.0,0.037000000000000005,1504,2,3,1,3,1260,0.588,0.789
0,0,2,0,2,0,1,0,0,1,0,0,0,41,9797.0,0.146,1503,3,4,1,2,1434,0.644,0.478
0,0,2,0,4,1,0,0,0,1,0,0,0,45,10400.0,0.171,1105,5,5,2,2,1777,0.7909999999999999,0.867
1,0,4,0,1,0,1,0,0,1,0,0,0,53,26792.0,0.069,2398,3,2,1,2,1836,1.432,0.88
0,0,1,0,4,0,1,0,0,1,0,0,0,67,3006.0,0.8370000000000001,1661,1,4,3,2,2517,2.053,1.0
0,0,2,0,1,0,0,1,0,0,0,0,1,57,19482.0,0.055,1421,2,6,3,0,1072,0.706,1.444
0,0,2,0,1,0,1,0,0,1,0,0,0,59,3356.0,0.294,999,1,4,2,3,985,0.35,0.556
1,0,2,0,1,0,1,0,0,1,0,0,0,45,5771.0,0.39,1387,2,3,2,1,2248,1.791,0.8
1,0,4,0,4,0,1,0,0,1,0,0,0,51,11106.0,0.19,1243,3,6,2,3,2107,0.948,1.0
0,0,1,0,1,0,1,0,0,1,0,0,0,59,2890.0,0.6920000000000001,1860,1,5,3,0,2001,1.334,1.0
1,0,3,0,4,0,1,0,0,1,0,0,0,53,3380.0,0.503,1502,1,6,2,2,1701,0.747,1.273
1,0,3,0,4,0,1,0,0,1,0,0,0,47,21331.0,0.059000000000000004,1460,3,2,1,2,1251,0.9490000000000001,1.083
0,1,1,0,1,0,0,1,0,1,0,0,0,49,12860.0,0.0,1348,3,6,2,1,0,0.6459999999999999,0.28600000000000003
1,0,4,0,5,0,0,1,0,1,0,0,0,49,6278.0,0.07400000000000001,1087,3,3,1,0,462,1.161,0.941
0,0,1,0,3,0,0,1,0,1,0,0,0,60,1438.3,0.513,1226,0,5,1,3,738,0.782,0.5710000000000001
0,0,1,0,2,0,1,0,0,1,0,0,0,50,9355.0,0.174,1230,2,5,1,2,1626,0.701,0.867
0,1,1,0,5,0,1,0,0,1,0,0,0,41,20758.0,0.0,1555,2,6,1,3,0,0.688,0.684
1,0,4,0,4,0,1,0,0,1,0,0,0,57,14612.0,0.135,1827,1,5,3,1,1976,1.768,3.0
1,0,4,0,4,0,0,0,1,1,0,0,0,43,27259.0,0.0,1376,4,5,2,0,0,0.731,0.591
0,0,1,0,4,0,1,0,0,1,0,0,0,57,6347.0,0.251,1771,3,4,2,3,1594,0.8959999999999999,0.762
1,0,5,0,6,0,1,0,0,1,0,0,0,54,21592.0,0.078,1873,3,3,3,0,1676,1.097,0.529
0,0,1,0,5,0,1,0,0,1,0,0,0,51,3449.0,0.46299999999999997,1679,5,5,1,1,1598,0.971,0.556
0,0,1,0,2,0,1,0,0,1,0,0,0,47,6028.0,0.133,1002,3,2,1,2,799,0.8190000000000001,0.5710000000000001
1,0,5,0,2,0,0,0,1,1,0,0,0,41,18214.0,0.11,1344,0,3,2,3,1998,0.8290000000000001,1.1
1,0,4,0,1,0,1,0,0,1,0,0,0,53,16393.0,0.087,1461,3,3,3,1,1423,1.642,0.75
1,0,1,0,2,0,1,0,0,1,0,0,0,68,1438.3,0.626,760,0,1,3,2,900,0.743,0.615
1,0,3,0,3,0,1,0,0,1,0,0,0,59,7871.0,0.214,1428,1,4,1,2,1687,1.242,1.444
1,0,4,1,4,0,1,0,0,1,0,0,0,48,5288.0,0.16399999999999998,1777,4,5,3,0,866,0.8690000000000001,0.75
1,0,3,0,4,0,1,0,0,1,0,0,0,44,11376.0,0.17600000000000002,1302,5,4,5,3,2006,0.619,0.8
1,0,4,0,3,0,1,0,0,1,0,0,0,48,12302.0,0.133,1483,3,4,5,3,1632,1.5090000000000001,0.519
1,0,3,0,4,0,1,0,0,0,0,0,1,47,34516.0,0.049,1060,4,3,2,1,1679,0.623,0.5
1,0,3,0,4,0,1,0,0,0,0,0,1,47,34516.0,0.043,1330,2,4,2,2,1468,0.505,0.684
0,0,1,0,2,1,0,0,0,0,0,0,1,43,10514.0,0.15,1229,1,3,2,2,1580,0.504,0.8
0,0,1,0,4,0,1,0,0,1,0,0,0,55,1438.3,0.0,886,2,2,4,3,0,0.7070000000000001,0.42100000000000004
1,0,3,0,5,0,1,0,0,1,0,0,0,59,1438.3,0.0,844,2,3,3,3,0,0.688,0.5
1,0,2,0,4,0,1,0,0,1,0,0,0,63,2619.0,0.679,1450,1,2,1,2,1779,1.2590000000000001,0.9470000000000001
1,0,5,0,3,0,1,0,0,1,0,0,0,58,24407.0,0.098,2311,2,2,3,0,2395,1.071,0.7140000000000001
0,0,1,0,2,0,1,0,0,1,0,0,0,53,2377.0,0.6940000000000001,1378,2,4,1,2,1649,0.93,1.167
1,0,4,1,4,0,0,0,1,0,0,0,1,59,34516.0,0.039,1033,0,3,2,3,1359,1.327,1.364
1,0,5,0,4,0,1,0,0,1,0,0,0,52,11086.0,0.19899999999999998,1523,3,5,3,3,2207,0.8690000000000001,1.105
1,0,3,0,2,0,0,1,0,1,0,0,0,48,11432.0,0.22,1374,3,4,2,2,2517,0.615,0.762
1,0,2,0,2,0,1,0,0,1,0,0,0,43,13258.0,0.13,1080,4,5,3,2,1721,0.9079999999999999,1.3330000000000002
1,0,1,0,3,0,0,1,0,1,0,0,0,48,2571.0,0.76,1234,2,3,2,3,1955,0.531,0.7140000000000001
0,0,1,0,4,0,0,1,0,1,0,0,0,43,5781.0,0.20199999999999999,1600,4,5,2,0,1168,0.638,0.455
1,0,3,1,4,0,1,0,0,1,0,0,0,44,7872.0,0.319,1155,4,5,1,2,2509,0.971,0.882
1,0,4,0,2,0,1,0,0,1,0,0,0,41,34516.0,0.035,1353,3,6,1,2,1202,0.603,0.737
